,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,show,projectrank_placing,url,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,github_release_downloads,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,docs_url,trending,updated_github_id
33,ember-thumbor-images,abhilashlr/ember-thumbor-images,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/abhilashlr/ember-thumbor-images,https://github.com/abhilashlr/ember-thumbor-images,MIT,2020-03-01 17:40:10,2022-10-27 23:05:43.000000,2021-10-25 09:43:39,142.0,,,1.0,271.0,2.0,1.0,1.0,2021-10-10 04:26:20.654,1.0.0,17.0,This is an addon for using thumbor based images in apps.,,,6.0,9,,,,,59.0,False,3,,ember-thumbor-images,https://www.npmjs.com/package/ember-thumbor-images,2021-10-10 04:26:20.654,,59.0,,,,,,,,,,,,,
34,thumbor-docker,mvhirsch/thumbor-docker,,"['docker', 'thumbor7', 'python3']",hosting,https://github.com/mvhirsch/thumbor-docker,https://github.com/mvhirsch/thumbor-docker,MIT,2018-08-28 15:01:47,2022-05-16 05:46:48.000000,2022-05-16 05:46:48,39.0,,5.0,3.0,4.0,3.0,5.0,19.0,,,,Unofficial thumbor docker image.,,,4.0,8,,,,,83.0,True,2,,,,,,,mvhirsch/thumbor,https://hub.docker.com/r/mvhirsch/thumbor,2022-02-05 13:50:02.582077,1.0,4234.0,,,,,,,,
35,hey-car thumbor,hey-car/thumbor,,['docker'],hosting,https://github.com/hey-car/thumbor,https://github.com/hey-car/thumbor,MIT,2018-01-02 14:02:37,2019-02-22 10:30:36.000000,2019-01-07 08:06:43,21.0,,4.0,4.0,3.0,,,8.0,,,,Yet another Thumbor Docker image.,,,2.0,8,,,,,384.0,False,2,,,,,,,heycar/thumbor/,https://hub.docker.com/r/heycar/thumbor/,2019-01-07 08:33:33.082135,1.0,22292.0,,,,,,,,
36,mtucourses-thumbor,Michigan-Tech-Courses/thumbor,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/Michigan-Tech-Courses/thumbor,https://github.com/Michigan-Tech-Courses/thumbor,MIT,2021-01-25 18:36:05,2021-09-09 17:19:50.421000,2021-09-09 17:18:46,19.0,,1.0,2.0,1.0,,2.0,2.0,2021-09-09 17:19:50.421,2.0.0,3.0,a URL builder for Thumbor.,1.0,1.0,2.0,8,,,,,1797.0,False,3,,@mtucourses/thumbor,https://www.npmjs.com/package/@mtucourses/thumbor,2021-09-09 17:19:50.421,,1797.0,,,,,,,,,,,,,
37,thumbor-upload js client,handhead/thumbor-upload,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/handhead/thumbor-upload,https://github.com/handhead/thumbor-upload,MIT,2021-02-12 13:04:31,2021-02-15 18:51:14.941000,2021-02-15 18:45:44,10.0,,,3.0,,,,1.0,2021-02-15 18:51:14.941,1.1.0,2.0,Thumbor Upload.,,,2.0,8,,,,,12.0,False,3,,thumbor-upload,https://www.npmjs.com/package/thumbor-upload,2021-02-15 18:51:14.941,,12.0,,,,,,,,,,,,,
38,vanilla-thumbor,borgespro/vanilla-thumbor-url-builder,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/borgespro/vanilla-thumbor-url-builder,https://github.com/borgespro/vanilla-thumbor-url-builder,MIT,2019-08-30 21:22:05,2019-09-03 14:21:23.359000,2019-08-31 17:46:27,45.0,,,1.0,,,,1.0,2019-09-03 14:21:23.359,1.0.2,3.0,Thumbor client for RN.,,,3.0,8,,,,,214.0,False,3,,vanilla-thumbor-url-builder,https://www.npmjs.com/package/vanilla-thumbor-url-builder,2019-09-03 14:21:23.359,,214.0,,,,,,,,,,,,,
39,thumbor_extras.detectors,imaus10/thumbor_extras,thumbor_extras,[],detectors,https://github.com/imaus10/thumbor_extras,https://github.com/imaus10/thumbor_extras,MIT,2019-04-12 14:46:00,2019-09-10 05:49:41.000000,2019-09-10 05:44:22,31.0,,,2.0,,1.0,,,2019-09-10 05:49:12.000,1.0.2,5.0,Some useful extensions to thumbor - extra filters and detectors.,,,,8,https://pypi.org/project/thumbor_extras,2019-09-10 05:49:12,,11.0,11.0,False,2,,,,,,,,,,,,,,,,,,,
40,thumbor_extras.filters,imaus10/thumbor_extras,thumbor_extras,[],filters,https://github.com/imaus10/thumbor_extras,https://github.com/imaus10/thumbor_extras,MIT,2019-04-12 14:46:00,2019-09-10 05:49:41.000000,2019-09-10 05:44:22,31.0,,,2.0,,1.0,,,2019-09-10 05:49:12.000,1.0.2,5.0,Some useful extensions to thumbor - extra filters and detectors.,,,,8,https://pypi.org/project/thumbor_extras,2019-09-10 05:49:12,,11.0,11.0,False,1,,,,,,,,,,,,,,,,,,,
41,dek-thumbor,dekproject/thumbor,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/dekproject/thumbor,https://github.com/dekproject/thumbor,MIT,2020-08-07 16:40:16,2020-08-07 20:24:48.049000,2020-08-07 20:24:22,3.0,,,1.0,,,,,2020-08-07 20:24:48.049,1.0.1,2.0,Thumbor interface plugin for DEK.,,,,8,,,,,11.0,False,3,,@dekproject/thumbor,https://www.npmjs.com/package/@dekproject/thumbor,2020-08-07 20:24:48.049,,11.0,,,,,,,,,,,,,
42,thumbor-php,beeyev/thumbor-php,,"['PHP', 'thumbor7', 'laravel']",php-url-and-framework,https://github.com/beeyev/thumbor-php,https://github.com/beeyev/thumbor-php,MIT,2022-06-24 16:09:29,2022-08-02 18:54:50.000000,2022-08-02 18:54:50,5.0,,10.0,10.0,,,,52.0,2022-06-26 14:01:13.000,1.8.0,1.0,PHP implementation of URL generator for Thumbor.,,,1.0,7,,,,,,True,1,,,,,,,,,,,,,,,,,https://github.com/beeyev/thumbor-php/,,
