,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,url,npm_id,npm_url,npm_monthly_downloads,pypi_latest_release_published_at,pypi_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,github_release_downloads,docs_url,maven_id,maven_url,npm_latest_release_published_at,npm_dependent_project_count,trending,updated_github_id
49,thumbor-distributed-collage-filter,globocom/thumbor-distributed-collage-filter,thumbor-distributed-collage-filter,"['python3', 'thumbor7']",filters,https://github.com/globocom/thumbor-distributed-collage-filter,https://github.com/globocom/thumbor-distributed-collage-filter,MIT,2018-01-15 13:58:39,2022-03-07 12:52:09.000000,2022-02-02 18:51:50,20.0,,1.0,35.0,2.0,,1.0,1.0,,,,Distributed collage is a filter for creating side-by-side images.,2.0,2.0,3.0,https://pypi.org/project/thumbor-distributed-collage-filter,22.0,22.0,5,False,2.0,,,,,,,,,,,,,,,,,,,
50,thumbor-multidir,benneic/thumbor_multidir,thumbor-multidir,[],loaders,https://github.com/benneic/thumbor_multidir,https://github.com/benneic/thumbor_multidir,MIT,2020-02-13 05:05:54,2022-11-13 11:50:03.000000,2020-02-17 23:57:53,11.0,,2.0,1.0,1.0,,,,,,,Thumbor file loader plugin that search multiple paths on disk.,,,,https://pypi.org/project/thumbor-multidir,33.0,33.0,5,False,2.0,,,,,,,,,,,,,,,,,,,
51,remotecv-redis,benneic/remotecv_redis,remotecv-redis,[],detectors,https://github.com/benneic/remotecv_redis,https://github.com/benneic/remotecv_redis,MIT,2020-01-20 01:00:05,2020-03-02 01:15:09.000000,2020-03-02 01:15:02,15.0,,,1.0,,1.0,,,,,,Adds loading images directly from Redis storage i.e. from Thumbor.,,,,https://pypi.org/project/remotecv-redis,25.0,25.0,5,False,3.0,,,,,,,,,,,,,,,,,,,
52,jekyll-thumbor,myles/jekyll-thumbor,,"['ruby', 'thumbor7']",ruby-url-and-framework,https://github.com/myles/jekyll-thumbor,https://github.com/myles/jekyll-thumbor,MIT,2017-03-21 13:13:47,2019-11-21 14:26:00.000000,2019-11-21 14:26:00,30.0,,1.0,1.0,1.0,1.0,1.0,,2017-06-22 16:00:19.000,0.4.2,2.0,A Jekyll template tag for Thumbor imaging service.,,,3.0,,,0.0,5,False,3.0,,,,,,,,,,,,12.0,,,,,,,
53,thumbor-upload js client,handhead/thumbor-upload,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/handhead/thumbor-upload,https://github.com/handhead/thumbor-upload,MIT,2021-02-12 13:04:31,2021-02-15 18:50:38.000000,2021-02-15 18:45:44,10.0,,,2.0,,,,1.0,2021-02-15 18:50:38.000,1.1.0,2.0,Thumbor Upload.,2.0,2.0,2.0,,,3.0,4,False,3.0,,thumbor-upload,https://www.npmjs.com/package/thumbor-upload,3.0,,,,,,,,,,,,,,,
54,nuxt-thumbor,itplusx/nuxt-thumbor,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/itplusx/nuxt-thumbor,https://github.com/itplusx/nuxt-thumbor,MIT,2020-08-31 12:29:41,2020-09-02 06:10:48.000000,2020-09-02 06:08:55,3.0,,,2.0,,,,1.0,,,,Thumbor module for NuxtJS.,3.0,3.0,,,,15.0,4,False,3.0,,@itplusx/nuxt-thumbor,https://www.npmjs.com/package/@itplusx/nuxt-thumbor,15.0,,,,,,,,,,,,,,,
55,vanilla-thumbor,borgespro/vanilla-thumbor-url-builder,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/borgespro/vanilla-thumbor-url-builder,https://github.com/borgespro/vanilla-thumbor-url-builder,,2019-08-30 21:22:05,2019-08-31 17:46:45.000000,2019-08-31 17:46:27,45.0,,,,,,,1.0,,,,Thumbor client for RN.,2.0,2.0,3.0,,,77.0,4,False,3.0,,vanilla-thumbor-url-builder,https://www.npmjs.com/package/vanilla-thumbor-url-builder,77.0,,,,,,,,,,,,,,-5.0,
56,docker-alpine-vips,heynemann/docker-alpine-pyvips,,['docker'],hosting,https://github.com/heynemann/docker-alpine-pyvips,https://github.com/heynemann/docker-alpine-pyvips,MIT,2022-01-26 17:16:07,2022-01-27 23:41:07.473640,2022-01-27 23:28:55,10.0,,,1.0,1.0,,,1.0,,,,Docker image for pyvips development using alpine.,,,,,,30.0,4,False,3.0,,,,,,,thumbororg/alpine-pyvips,https://hub.docker.com/r/thumbororg/alpine-pyvips,2022-01-27 23:41:07.473640,,1535.0,,,,,,,,
57,mtucourses-thumbor,Michigan-Tech-Courses/thumbor,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/Michigan-Tech-Courses/thumbor,https://github.com/Michigan-Tech-Courses/thumbor,MIT,2021-01-25 18:36:05,2021-09-09 17:18:52.000000,2021-09-09 17:18:46,19.0,,2.0,1.0,1.0,,2.0,2.0,,,,a URL builder for Thumbor.,5.0,5.0,2.0,,,34.0,3,False,3.0,,@mtucourses/thumbor,https://www.npmjs.com/package/@mtucourses/thumbor,34.0,,,,,,,,,,,,,,,
58,thumbor-cassandra,glborges/thumbor-cassandra,thumbor-cassandra,[],loaders,https://github.com/glborges/thumbor-cassandra,https://github.com/glborges/thumbor-cassandra,MIT,2019-02-06 13:51:23,2019-02-07 14:59:58.000000,2019-02-07 14:59:18,8.0,,,1.0,,1.0,,,,,,Thumbor plugin for Apache Cassandra.,,,2.0,https://pypi.org/project/thumbor-cassandra,15.0,15.0,3,False,3.0,,,,,,,,,,,,,,,,,,,
59,ThumborUrlBuilder,policymic/thumbor#readme,,"['node', 'thumbor7']",js-url-and-framework,,{},,,,,,,,,,,,,,,,,,,,,,5058.0,3,False,3.0,,thumbor,https://www.npmjs.com/package/thumbor,5058.0,,,,,,,,,,,,,,,
60,thumbor-icc,znerol/thumbor-icc,mg-thumbor,"['python3', 'thumbor7']",filters,https://github.com/znerol/thumbor-icc,https://github.com/znerol/thumbor-icc,,2016-04-19 13:35:49,2023-06-01 15:43:37.000000,2023-06-01 15:43:16,18.0,,,2.0,1.0,1.0,,3.0,,,,Thumbor filter to convert between ICC profiles.,,,,https://pypi.org/project/mg-thumbor,19.0,19.0,2,False,3.0,,,,,,,,,,,,,,,,,,,
61,thumbor-request-modifier-http-loader,dffrntmedia/thumbor-request-modifier-http-loader,thumbor-request-modifier-http-loader,[],loaders,https://github.com/dffrntmedia/thumbor-request-modifier,https://github.com/dffrntmedia/thumbor-request-modifier,GPL-3.0,2020-12-01 18:32:39,2022-07-04 15:46:43.000000,2022-07-04 14:58:55,27.0,,,2.0,1.0,,1.0,1.0,,,,Custom HTTP loader for Thumbor which allows modifying client request when certain conditions are met.,,,2.0,https://pypi.org/project/thumbor-request-modifier-http-loader,32.0,32.0,2,False,3.0,,,,,,,,,,,,,,,,,,,dffrntmedia/thumbor-request-modifier
62,thumbor_head,torsdag/thumbor_head,thumbor_head,[],storage-and-result-storage,https://github.com/torsdag/thumbor_head,https://github.com/torsdag/thumbor_head,,2017-02-23 13:52:14,2017-02-27 13:00:41.000000,2017-02-27 13:00:30,3.0,,,1.0,,1.0,,,2017-02-23 14:12:55.000,0.1.0,1.0,,,,,https://pypi.org/project/thumbor_head,10.0,10.0,2,False,3.0,,,,,,,,,,,,,,,,,,,
63,thumbor-focus-filter,sport1online/thumbor-focus-filter,thumbor-focus-filter,[],filters,https://github.com/sport1online/thumbor-focus-filter,https://github.com/sport1online/thumbor-focus-filter,,2018-05-04 16:38:20,2018-06-12 20:06:03.000000,2018-06-08 13:51:00,13.0,,,13.0,,1.0,,,,,,A Focus filter for Thumbor.,,,2.0,https://pypi.org/project/thumbor-focus-filter,13.0,13.0,2,False,3.0,,,,,,,,,,,,,,,,,,,
64,thumbor-padding,arcivr/thumbor-padding,thumbor-padding,[],filters,https://github.com/arcivr/thumbor-padding,https://github.com/arcivr/thumbor-padding,,2018-08-08 14:41:30,2022-01-24 16:48:35.000000,2022-01-24 16:48:35,5.0,,,2.0,,,1.0,3.0,,,,Padding filter for thumbor.,,,,https://pypi.org/project/thumbor-padding,15.0,15.0,1,False,3.0,,,,,,,,,,,,,,,,,,-6.0,
65,mg_thumbor,MindGeekOSS/mg_thumbor,mg-thumbor,[],filters,,{},,,,,,,,,,,,,,,,A filter for clipping images differently than what thumbor does.,,,,https://pypi.org/project/mg-thumbor,19.0,19.0,0,False,,,,,,,,,,,,,,,,,,,-7.0,
