,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,show,projectrank_placing,url,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,github_release_downloads,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,docs_url,updated_github_id
10,ruby-thumbor,thumbor/ruby-thumbor,,"['ruby', 'thumbor7']",ruby-url-and-framework,https://github.com/thumbor/ruby-thumbor,https://github.com/thumbor/ruby-thumbor,MIT,2011-04-03 02:30:00,2022-01-30 12:51:04.000000,2022-01-30 12:49:18,175.0,,12.0,21.0,20.0,,5.0,45.0,2022-01-28 02:08:19.000,4.0.0,2.0,ruby-thumbor is the client library to thumbor.,86.0,86.0,17.0,15,,,,,,False,1,,,,,,,,,,,,,,,,,,,
11,Thumbor S3 Docker,beeyev/thumbor-s3-docker,,"['docker', 'thumbor7', 'python3']",hosting,https://github.com/beeyev/thumbor-s3-docker,https://github.com/beeyev/thumbor-s3-docker,MIT,2022-04-28 19:57:19,2023-06-19 19:55:34.902960,2023-06-19 19:45:00,35.0,7.0,49.0,3.0,18.0,1.0,4.0,32.0,2023-05-29 21:16:18.000,7.5,8.0,"A docker image for thumbor with AWS S3 / Minio integration for cropping, resizing, applying filters and optimizing..",,,4.0,15,,,,,2394.0,True,2,,,,,,,,beeyev/thumbor-s3,https://hub.docker.com/r/beeyev/thumbor-s3,2023-06-19 19:55:34.902960,1.0,33529.0,,,,,,,
12,thumbor-plugins-gifv,thumbor/thumbor-plugins,thumbor-plugins-gifv,[],optimizers,https://github.com/thumbor/thumbor-plugins,https://github.com/thumbor/thumbor-plugins,MIT,2015-03-10 13:14:41,2023-05-29 21:33:30.000000,2023-05-29 21:32:10,138.0,1.0,19.0,19.0,57.0,6.0,13.0,31.0,2022-02-22 09:15:32.000,thumbor-plugins-jpegrecompress-v0.1.3,21.0,Optimizers and filters contributed by the Thumbor community.,15.0,14.0,13.0,14,https://pypi.org/project/thumbor-plugins-gifv,2022-02-22 07:47:37.000,1.0,2946.0,2946.0,True,1,,,,,,,,,,,,,,,,,,,
13,opencv-engine,thumbor/opencv-engine,opencv-engine,[],engines,https://github.com/thumbor/opencv-engine,https://github.com/thumbor/opencv-engine,MIT,2014-03-12 19:07:03,2022-01-31 23:50:14.000000,2018-05-23 21:07:08,25.0,,26.0,22.0,16.0,14.0,11.0,25.0,2015-04-12 23:23:07.000,1.0.1,3.0,Thumbor engine for the openCV imaging library.,2.0,,8.0,14,https://pypi.org/project/opencv-engine,2015-04-12 22:48:56.000,2.0,681.0,681.0,False,1,,,,,,,,,,,,,12.0,,,,,,
14,ThumborUrlBuilder,policymic/thumbor#readme,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/policymic/thumbor#readme,https://github.com/policymic/thumbor#readme,MIT,2014-03-03 19:22:12,2017-09-07 07:05:18.804000,,,,13.0,,,3.0,,20.0,2017-09-07 07:05:18.804,0.1.5,6.0,Client Thumbor for Node JS.,14.0,,5.0,14,,,,,8695.0,False,1,,thumbor,https://www.npmjs.com/package/thumbor,2017-09-07 07:05:18.804,14.0,8695.0,,,,,,,,,,,,,
15,thumbor-aws S3 Storages and S3 Result Storage,thumbor/thumbor-aws,thumbor-aws,"['python3', 'thumbor7']",storage-and-result-storage,https://github.com/thumbor/thumbor-aws,https://github.com/thumbor/thumbor-aws,MIT,2021-11-21 02:37:07,2023-06-09 20:04:38.000000,2023-02-01 14:45:22,99.0,,13.0,5.0,111.0,1.0,23.0,15.0,2023-02-01 14:48:02.551,0.6.0,10.0,thumbor-aws is a set of modern thumbor (7.0.0) AWS Extensions (Storages and Result Storages).,,,6.0,14,https://pypi.org/project/thumbor-aws,2022-05-02 21:23:10.000,,592.0,592.0,True,2,,,,,,,,,,,,,,,,,,,
16,thumbor-aws S3 loader,thumbor/thumbor-aws,thumbor-aws,"['python3', 'thumbor7']",loaders,https://github.com/thumbor/thumbor-aws,https://github.com/thumbor/thumbor-aws,MIT,2021-11-21 02:37:07,2023-06-09 20:04:38.000000,2023-02-01 14:45:22,99.0,,13.0,5.0,111.0,1.0,23.0,15.0,2023-02-01 14:48:02.551,0.6.0,10.0,thumbor-aws is a set of modern thumbor (7.0.0) AWS Extensions (Storages and Result Storages).,,,6.0,14,https://pypi.org/project/thumbor-aws,2022-05-02 21:23:10.000,,592.0,592.0,True,2,,,,,,,,,,,,,,,,,,,
17,thumbor-plugins-optipng,thumbor/thumbor-plugins,thumbor-plugins-optipng,[],optimizers,https://github.com/thumbor/thumbor-plugins,https://github.com/thumbor/thumbor-plugins,MIT,2015-03-10 13:14:41,2023-05-29 21:33:30.000000,2023-05-29 21:32:10,138.0,1.0,19.0,19.0,57.0,6.0,13.0,31.0,2022-02-22 09:15:32.000,thumbor-plugins-jpegrecompress-v0.1.3,21.0,Optimizers and filters contributed by the Thumbor community.,14.0,14.0,13.0,13,https://pypi.org/project/thumbor-plugins-optipng,2022-02-22 07:40:01.000,,232.0,232.0,True,2,,,,,,,,,,,,,,,,,,,
18,thumbor-plugins-mozjpeg,thumbor/thumbor-plugins,thumbor-plugins-mozjpeg,[],optimizers,https://github.com/thumbor/thumbor-plugins,https://github.com/thumbor/thumbor-plugins,MIT,2015-03-10 13:14:41,2023-05-29 21:33:30.000000,2023-05-29 21:32:10,138.0,1.0,19.0,19.0,57.0,6.0,13.0,31.0,2022-02-22 09:15:32.000,thumbor-plugins-jpegrecompress-v0.1.3,21.0,Optimizers and filters contributed by the Thumbor community.,14.0,14.0,13.0,12,https://pypi.org/project/thumbor-plugins-mozjpeg,2022-02-22 07:53:17.000,,33.0,33.0,True,2,,,,,,,,,,,,,,,,,,,
19,thumbor-plugins-jpegrecompress,thumbor/thumbor-plugins,thumbor-plugins-jpegrecompress,[],optimizers,https://github.com/thumbor/thumbor-plugins,https://github.com/thumbor/thumbor-plugins,MIT,2015-03-10 13:14:41,2023-05-29 21:33:30.000000,2023-05-29 21:32:10,138.0,1.0,19.0,19.0,57.0,6.0,13.0,31.0,2022-02-22 09:16:05.000,0.1.3,21.0,Optimizers and filters contributed by the Thumbor community.,14.0,14.0,13.0,12,https://pypi.org/project/thumbor-plugins-jpegrecompress,2022-02-22 09:16:05.000,,16.0,16.0,True,2,,,,,,,,,,,,,,,,,,,
