,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,url,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,github_release_downloads,trending,docs_url,maven_id,maven_url,pypi_latest_release_published_at,updated_github_id
51,thumbor-multidir,benneic/thumbor_multidir,thumbor-multidir,[],loaders,https://github.com/benneic/thumbor_multidir,https://github.com/benneic/thumbor_multidir,MIT,2020-02-13 05:05:54,2022-11-13 11:50:03.000000,2020-02-17 23:57:53,11.0,,2.0,1.0,1.0,,,,,,,Thumbor file loader plugin that search multiple paths on disk.,,,,https://pypi.org/project/thumbor-multidir,32.0,32.0,5,False,2,,,,,,,,,,,,,,,,,,
52,thumbor_extras.detectors,imaus10/thumbor_extras,thumbor_extras,[],detectors,https://github.com/imaus10/thumbor_extras,https://github.com/imaus10/thumbor_extras,MIT,2019-04-12 14:46:00,2019-09-10 05:49:41.000000,2019-09-10 05:44:22,31.0,,,1.0,,1.0,,,,,,Some useful extensions to thumbor - extra filters and detectors.,,,,https://pypi.org/project/thumbor_extras,,,5,False,3,,,,,,,,,,,,,,,,,,
53,remotecv-redis,benneic/remotecv_redis,remotecv-redis,[],detectors,https://github.com/benneic/remotecv_redis,https://github.com/benneic/remotecv_redis,MIT,2020-01-20 01:00:05,2020-03-02 01:15:09.000000,2020-03-02 01:15:02,15.0,,,1.0,,1.0,,,,,,Adds loading images directly from Redis storage i.e. from Thumbor.,,,,https://pypi.org/project/remotecv-redis,23.0,23.0,5,False,3,,,,,,,,,,,,,,,,,,
54,jekyll-thumbor,myles/jekyll-thumbor,,"['ruby', 'thumbor7']",ruby-url-and-framework,https://github.com/myles/jekyll-thumbor,https://github.com/myles/jekyll-thumbor,MIT,2017-03-21 13:13:47,2019-11-21 14:26:00.000000,2019-11-21 14:26:00,30.0,,1.0,1.0,1.0,1.0,1.0,,2017-06-22 16:00:19.000,0.4.2,2.0,A Jekyll template tag for Thumbor imaging service.,,,3.0,,,0.0,5,False,3,,,,,,,,,,,,12.0,,,,,,
55,docker-alpine-vips,heynemann/docker-alpine-pyvips,,['docker'],hosting,https://github.com/heynemann/docker-alpine-pyvips,https://github.com/heynemann/docker-alpine-pyvips,MIT,2022-01-26 17:16:07,2022-01-27 23:41:07.473640,2022-01-27 23:28:55,10.0,,,1.0,1.0,,,1.0,,,,Docker image for pyvips development using alpine.,,,,,,31.0,4,False,3,,,,,,,thumbororg/alpine-pyvips,https://hub.docker.com/r/thumbororg/alpine-pyvips,2022-01-27 23:41:07.473640,,1618.0,,,,,,,
56,thumbor-icc,znerol/thumbor-icc,mg-thumbor,"['python3', 'thumbor7']",filters,https://github.com/znerol/thumbor-icc,https://github.com/znerol/thumbor-icc,,2016-04-19 13:35:49,2023-06-01 15:43:37.000000,2023-06-01 15:43:16,18.0,,,2.0,1.0,1.0,,3.0,,,,Thumbor filter to convert between ICC profiles.,,,,https://pypi.org/project/mg-thumbor,25.0,25.0,3,False,2,,,,,,,,,,,,,,,,,,
57,thumbor-expire,HonQii/thumbor-expire,thumbor-expire,"['python3', 'thumbor7']",url-signers,https://github.com/HonQii/thumbor-expire,https://github.com/HonQii/thumbor-expire,MIT,2021-04-21 10:23:54,2021-05-09 05:28:52.000000,2021-05-09 05:28:44,9.0,,,1.0,,,,2.0,,,,Add timeout verification for thumbor.,,,,https://pypi.org/project/thumbor-expire,16.0,16.0,3,False,1,,,,,,,,,,,,,,,,,,
58,thumbor-cassandra,glborges/thumbor-cassandra,thumbor-cassandra,[],loaders,https://github.com/glborges/thumbor-cassandra,https://github.com/glborges/thumbor-cassandra,MIT,2019-02-06 13:51:23,2019-02-07 14:59:58.000000,2019-02-07 14:59:18,8.0,,,1.0,,1.0,,,,,,Thumbor plugin for Apache Cassandra.,,,2.0,https://pypi.org/project/thumbor-cassandra,9.0,9.0,3,False,3,,,,,,,,,,,,,,,,,,
59,thumbor-request-modifier-http-loader,dffrntmedia/thumbor-request-modifier-http-loader,thumbor-request-modifier-http-loader,[],loaders,https://github.com/dffrntmedia/thumbor-request-modifier,https://github.com/dffrntmedia/thumbor-request-modifier,GPL-3.0,2020-12-01 18:32:39,2022-07-04 15:46:43.000000,2022-07-04 14:58:55,27.0,,,2.0,1.0,,1.0,1.0,,,,Custom HTTP loader for Thumbor which allows modifying client request when certain conditions are met.,,,2.0,https://pypi.org/project/thumbor-request-modifier-http-loader,28.0,28.0,2,False,3,,,,,,,,,,,,,,,,,,dffrntmedia/thumbor-request-modifier
60,thumbor_head,torsdag/thumbor_head,thumbor_head,[],storage-and-result-storage,https://github.com/torsdag/thumbor_head,https://github.com/torsdag/thumbor_head,,2017-02-23 13:52:14,2017-02-27 13:00:41.000000,2017-02-27 13:00:30,3.0,,,1.0,,1.0,,,2017-02-23 14:12:55.000,0.1.0,1.0,,,,,https://pypi.org/project/thumbor_head,,,2,False,3,,,,,,,,,,,,,,,,,,
61,remotecv-multidir,benneic/remotecv_multidir,remotecv-multidir,[],detectors,https://github.com/benneic/remotecv_multidir,https://github.com/benneic/remotecv_multidir,MIT,2020-03-02 23:44:27,2020-03-03 01:11:42.000000,2020-03-03 01:11:34,2.0,,,1.0,,1.0,,,,,,,,,,https://pypi.org/project/remotecv-multidir,16.0,16.0,2,False,3,,,,,,,,,,,,,-5.0,,,,,
62,thumbor-focus-filter,sport1online/thumbor-focus-filter,thumbor-focus-filter,[],filters,https://github.com/sport1online/thumbor-focus-filter,https://github.com/sport1online/thumbor-focus-filter,,2018-05-04 16:38:20,2018-06-12 20:06:03.000000,2018-06-08 13:51:00,13.0,,,13.0,,1.0,,,,,,A Focus filter for Thumbor.,,,2.0,https://pypi.org/project/thumbor-focus-filter,16.0,16.0,2,False,3,,,,,,,,,,,,,-5.0,,,,,
63,thumbor-aliases,dgarana/thumbor-aliases,thumbor-aliases,['tc'],python-url-and-framework,https://github.com/dgarana/thumbor-aliases,https://github.com/dgarana/thumbor-aliases,MIT,2019-02-18 23:37:13,2019-06-16 14:42:58.000000,2019-06-16 14:42:20,19.0,,1.0,1.0,1.0,2.0,1.0,,,,,,,,4.0,https://pypi.org/project/thumbor-aliases,20.0,20.0,2,False,3,,,,,,,,,,,,,-5.0,,,,,
64,thumbor-padding,arcivr/thumbor-padding,thumbor-padding,[],filters,https://github.com/arcivr/thumbor-padding,https://github.com/arcivr/thumbor-padding,,2018-08-08 14:41:30,2022-01-24 16:48:35.000000,2022-01-24 16:48:35,5.0,,,2.0,,,1.0,3.0,,,,Padding filter for thumbor.,,,,https://pypi.org/project/thumbor-padding,16.0,16.0,1,False,3,,,,,,,,,,,,,-6.0,,,,,
65,mg_thumbor,MindGeekOSS/mg_thumbor,mg-thumbor,[],filters,,{},,,,,,,,,,,,,,,,A filter for clipping images differently than what thumbor does.,,,,https://pypi.org/project/mg-thumbor,25.0,25.0,1,False,3,,,,,,,,,,,,,-6.0,,,,,
