,name,github_id,pypi_id,labels,category,homepage,dependent_project_count,github_dependent_project_count,contributor_count,github_url,license,created_at,updated_at,projectrank,fork_count,open_issue_count,star_count,description,pypi_url,pypi_latest_release_published_at,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,show,projectrank_placing,trending,url,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,docs_url
55,thumbor-aliases,dgarana/thumbor-aliases,thumbor-aliases,['tc'],python-url-and-framework,https://github.com/dgarana/thumbor-aliases,,,4.0,https://github.com/dgarana/thumbor-aliases,MIT,2019-02-18 23:37:13,2019-02-18 23:45:57.000000,7,,,,Thumbor URL Aliases.,https://pypi.org/project/thumbor-aliases,2019-02-18 23:45:57.000,2019-02-18 23:45:57.000,0.0.3,3.0,,10.0,10.0,False,3,,,,,,,,,,,,,,,,,
56,thumbor-request-modifier-http-loader,dffrntmedia/thumbor-request-modifier-http-loader,thumbor-request-modifier-http-loader,[],loaders,https://github.com/dffrntmedia/thumbor-request-modifier-http-loader,,,2.0,,GPL-3.0,,2020-12-02 14:19:38.000000,6,,,1.0,Custom HTTP loader for Thumbor which allows modifying client request based on certain conditions.,https://pypi.org/project/thumbor-request-modifier-http-loader,2020-12-02 14:19:38.000,,,10.0,,19.0,19.0,False,3,,,,,,,,,,,,,,,,,
57,thumbor-distributed-collage-filter,globocom/thumbor-distributed-collage-filter,thumbor-distributed-collage-filter,"['python3', 'thumbor7']",filters,https://github.com/globocom/thumbor-distributed-collage-filter,2.0,2.0,3.0,https://github.com/globocom/thumbor-distributed-collage-filter,MIT,2018-01-15 13:58:39,2022-03-07 12:52:09.000000,6,1.0,,1.0,Distributed collage is a filter for creating side-by-side images.,https://pypi.org/project/thumbor-distributed-collage-filter,2022-02-02 18:50:39.000,2018-06-01 19:03:03.000,0.2.2,5.0,,13.0,13.0,False,3,,,,,,,,,,,,,,,,,
58,nuxt-thumbor,itplusx/nuxt-thumbor,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/itplusx/nuxt-thumbor,8.0,3.0,1.0,https://github.com/itplusx/nuxt-thumbor,MIT,2020-08-31 12:29:41,2020-09-02 06:28:41.880000,6,,,1.0,Thumbor module for NuxtJS.,,,2020-09-02 06:28:41.880,0.1.1,1.0,,,8.0,False,3,,,@itplusx/nuxt-thumbor,https://www.npmjs.com/package/@itplusx/nuxt-thumbor,2020-09-02 06:28:41.880,5.0,8.0,,,,,,,,,,
59,thumbor-multidir,benneic/thumbor_multidir,thumbor-multidir,[],loaders,https://github.com/benneic/thumbor_multidir,,,1.0,https://github.com/benneic/thumbor_multidir,MIT,2020-02-13 05:05:54,2020-02-17 23:58:13.000000,6,,,,Thumbor file loader plugin that search multiple paths on disk.,https://pypi.org/project/thumbor-multidir,2020-02-17 23:58:13.000,2020-02-17 23:58:13.000,0.2.8,9.0,,,,False,3,,,,,,,,,,,,,,,,,
60,thumbor-cassandra,glborges/thumbor-cassandra,thumbor-cassandra,[],loaders,https://github.com/glborges/thumbor-cassandra,,,2.0,https://github.com/glborges/thumbor-cassandra,MIT,2019-02-06 13:51:23,2019-02-07 15:38:15.000000,6,,,,Thumbor plugin for Apache Cassandra.,https://pypi.org/project/thumbor-cassandra,2019-02-07 15:38:15.000,,,3.0,,16.0,16.0,False,3,,,,,,,,,,,,,,,,,
61,react-thumbor,clayrisser/react-thumbor,,"['node', 'react', 'thumbor7']",js-url-and-framework,https://github.com/jamrizzi/react-thumbor,8.0,3.0,2.0,,,,2016-12-07 06:32:52.067000,6,,,,react-thumbor.,,,2016-12-07 06:32:52.067,0.1.21,21.0,,,65.0,False,3,,,react-thumbor,https://www.npmjs.com/package/react-thumbor,2016-12-07 06:32:52.067,5.0,65.0,,,,,,,,,,
62,thumbor-versionable,vjustov/thumbor-versionable,,"['ruby', 'thumbor7']",ruby-url-and-framework,https://github.com/vjustov/thumbor-versionable,1.0,1.0,2.0,https://github.com/vjustov/thumbor-versionable,MPL-2.0,2014-12-14 00:00:32,2015-11-30 16:39:10.000000,5,4.0,4.0,12.0,A Thumbor client that lets you specify versions of given image.,,,,,,,,,False,3,,,,,,,,,,,,,,,,,
63,thumbor_head,torsdag/thumbor_head,thumbor_head,[],storage-and-result-storage,https://github.com/torsdag/thumbor_head,,,1.0,https://github.com/torsdag/thumbor_head,,2017-02-23 13:52:14,2017-02-27 13:01:38.000000,5,,,,Allow checking of http status code for all requests even if cached.,https://pypi.org/project/thumbor_head,2017-02-27 13:01:38.000,2017-02-27 13:01:38.000,0.1.1,2.0,,6.0,6.0,False,3,,,,,,,,,,,,,,,,,
64,jekyll-thumbor,myles/jekyll-thumbor,,"['ruby', 'thumbor7']",ruby-url-and-framework,https://github.com/myles/jekyll-thumbor,,,3.0,https://github.com/myles/jekyll-thumbor,MIT,2017-03-21 13:13:47,2019-11-21 14:26:00.000000,5,1.0,1.0,,A Jekyll template tag for Thumbor imaging service.,,,,,,,,,False,3,,,,,,,,,,,,,,,,,
65,docker-alpine-vips,heynemann/docker-alpine-pyvips,,['docker'],hosting,https://github.com/heynemann/docker-alpine-pyvips,,,1.0,https://github.com/heynemann/docker-alpine-pyvips,MIT,2022-01-26 17:16:07,2022-01-27 23:41:07.473640,4,,,1.0,Docker image for pyvips development using alpine.,,,,,,,,31.0,False,3,,,,,,,,thumbororg/alpine-pyvips,https://hub.docker.com/r/thumbororg/alpine-pyvips,2022-01-27 23:41:07.473640,,1698.0,,,,,
