,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,url,npm_id,npm_url,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,github_release_downloads,maven_id,maven_url,docs_url,trending
10,thumbor-plugins-mozjpeg,thumbor/thumbor-plugins,thumbor-plugins-mozjpeg,[],optimizers,https://github.com/thumbor/thumbor-plugins,https://github.com/thumbor/thumbor-plugins,MIT,2015-03-10 13:14:41,2022-03-17 08:52:13.000000,2022-03-17 08:51:00,137.0,66.0,18.0,19.0,56.0,2.0,11.0,29.0,2022-02-22 09:15:32,thumbor-plugins-jpegrecompress-v0.1.3,21.0,Optimizers and filters contributed by the Thumbor community.,,,13.0,https://pypi.org/project/thumbor-plugins-mozjpeg,168.0,168.0,15,True,1,,,,,,,,,,,,,,
11,thumbor-plugins-pngcrush,thumbor/thumbor-plugins,thumbor-plugins-pngcrush,[],optimizers,https://github.com/thumbor/thumbor-plugins,https://github.com/thumbor/thumbor-plugins,MIT,2015-03-10 13:14:41,2022-03-17 08:52:13.000000,2022-03-17 08:51:00,137.0,66.0,18.0,19.0,56.0,2.0,11.0,29.0,2022-02-22 09:15:32,thumbor-plugins-jpegrecompress-v0.1.3,21.0,Optimizers and filters contributed by the Thumbor community.,,,13.0,https://pypi.org/project/thumbor-plugins-pngcrush,168.0,168.0,15,True,1,,,,,,,,,,,,,,
12,pollexor,square/pollexor,,"['java', 'thumbor7']",java-url-and-framework,https://github.com/square/pollexor,https://github.com/square/pollexor,Apache-2.0,2012-07-17 18:06:03,2022-03-01 20:30:08.000000,2022-03-01 20:30:07,154.0,16.0,82.0,23.0,35.0,,10.0,624.0,,,,Java client for the Thumbor image service which allows you to build URIs in an expressive fashion using a fluent API.,,,15.0,,,,14,True,1,,,,,,,,,,,com.squareup:pollexor,https://search.maven.org/artifact/com.squareup/pollexor,,
13,thumbor-plugins-jpegrecompress,thumbor/thumbor-plugins,thumbor-plugins-jpegrecompress,[],optimizers,https://github.com/thumbor/thumbor-plugins,https://github.com/thumbor/thumbor-plugins,MIT,2015-03-10 13:14:41,2022-03-17 08:52:13.000000,2022-03-17 08:51:00,137.0,66.0,18.0,19.0,56.0,2.0,11.0,29.0,2022-02-22 09:15:32,thumbor-plugins-jpegrecompress-v0.1.3,21.0,Optimizers and filters contributed by the Thumbor community.,,,13.0,https://pypi.org/project/thumbor-plugins-jpegrecompress,131.0,131.0,14,True,3,,,,,,,,,,,,,,
14,thumbor-plugins-jp2,thumbor/thumbor-plugins,thumbor-plugins-jp2,[],optimizers,https://github.com/thumbor/thumbor-plugins,https://github.com/thumbor/thumbor-plugins,MIT,2015-03-10 13:14:41,2022-03-17 08:52:13.000000,2022-03-17 08:51:00,137.0,66.0,18.0,19.0,56.0,2.0,11.0,29.0,2022-02-22 09:15:32,thumbor-plugins-jpegrecompress-v0.1.3,21.0,Optimizers and filters contributed by the Thumbor community.,,,13.0,https://pypi.org/project/thumbor-plugins-jp2,128.0,128.0,14,True,3,,,,,,,,,,,,,,
15,thumbor-plugins-optipng,thumbor/thumbor-plugins,thumbor-plugins-optipng,[],optimizers,https://github.com/thumbor/thumbor-plugins,https://github.com/thumbor/thumbor-plugins,MIT,2015-03-10 13:14:41,2022-03-17 08:52:13.000000,2022-03-17 08:51:00,137.0,66.0,18.0,19.0,56.0,2.0,11.0,29.0,2022-02-22 09:15:32,thumbor-plugins-jpegrecompress-v0.1.3,21.0,Optimizers and filters contributed by the Thumbor community.,,,13.0,https://pypi.org/project/thumbor-plugins-optipng,132.0,132.0,14,True,3,,,,,,,,,,,,,,
16,thumbor-plugins-pngquant,thumbor/thumbor-plugins,thumbor-plugins-pngquant,[],optimizers,https://github.com/thumbor/thumbor-plugins,https://github.com/thumbor/thumbor-plugins,MIT,2015-03-10 13:14:41,2022-03-17 08:52:13.000000,2022-03-17 08:51:00,137.0,66.0,18.0,19.0,56.0,2.0,11.0,29.0,2022-02-22 09:15:32,thumbor-plugins-jpegrecompress-v0.1.3,21.0,Optimizers and filters contributed by the Thumbor community.,,,13.0,https://pypi.org/project/thumbor-plugins-pngquant,144.0,144.0,14,True,3,,,,,,,,,,,,,,
17,opencv-engine,thumbor/opencv-engine,opencv-engine,[],engines,https://github.com/thumbor/opencv-engine,https://github.com/thumbor/opencv-engine,MIT,2014-03-12 19:07:03,2022-01-31 23:50:14.000000,2018-05-23 21:07:08,25.0,,19.0,22.0,16.0,14.0,11.0,24.0,2015-04-12 23:23:07,1.0.1,3.0,Thumbor engine for the openCV imaging library.,,,8.0,https://pypi.org/project/opencv-engine,487.0,487.0,14,False,1,,,,,,,,,,11.0,,,,
18,django-thumbor,ricobl/django-thumbor,django-thumbor,"['python3', 'thumbor7', 'django']",python-url-and-framework,https://github.com/ricobl/django-thumbor,https://github.com/ricobl/django-thumbor,MIT,2012-12-16 20:27:56,2022-01-28 11:03:18.000000,2022-01-28 11:03:16,111.0,2.0,20.0,2.0,16.0,1.0,9.0,87.0,,,,A django app with templatetags for resizing images with thumbor.,21.0,21.0,7.0,https://pypi.org/project/django-thumbor,3216.0,3216.0,12,True,1,,,,,,,,,,,,,https://django-thumbor.readthedocs.io/en/latest/,
19,tc_redis.storage,thumbor-community/redis,tc_redis,[],storage-and-result-storage,https://github.com/thumbor-community/redis,https://github.com/thumbor-community/redis,MIT,2015-08-11 14:17:21,2022-03-16 20:21:11.000000,2022-03-15 14:50:24,22.0,8.0,10.0,6.0,4.0,3.0,1.0,10.0,2022-03-16 20:21:11,2.0.0,2.0,Redis support.,,,4.0,https://pypi.org/project/tc_redis,435.0,435.0,12,True,2,,,,,,,,,,,,,,
